Year,Decade,Recent,Runtime_Encoded,Director_Num_Movies,Writer_Num_Movies,Main_Actor_Num_Movies,Company_Num_Movies,Scaled_Standardized_Budget,Normalized_Score,Log_Votes,Log_ROI,Success,G,PG,PG-13,R,NC-17,Not Rated,Unrated,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Country_Argentina,Country_Aruba,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_Canada,Country_Chile,Country_China,Country_Colombia,Country_Czech Republic,Country_Denmark,Country_Finland,Country_France,Country_Germany,Country_Hong Kong,Country_Hungary,Country_Iceland,Country_India,Country_Indonesia,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Jamaica,Country_Japan,Country_Kenya,Country_Malta,Country_Mexico,Country_Netherlands,Country_New Zealand,Country_Norway,Country_Panama,Country_Portugal,Country_Republic of Macedonia,Country_Russia,Country_South Africa,Country_South Korea,Country_Spain,Country_Sweden,Country_Switzerland,Country_Taiwan,Country_Thailand,Country_United Arab Emirates,Country_United Kingdom,Country_United States,Country_Yugoslavia,Log_Worldwide_Gross,Cluster
1993,1990,0,2,17,1,19,319,0.0842542290038596,0.8108108108108107,16.840801682303496,7.615485606666826,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.27465604051448,0
2007,2000,0,1,5,5,19,13,0.0842542290038596,0.5405405405405406,15.830413711839864,6.895125862581995,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.602204854293436,0
1992,1990,0,2,5,1,19,319,0.0870632651112097,0.8243243243243243,17.126053607854647,8.349164996097667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21.016646020036973,0
2002,2000,0,1,11,1,19,24,0.1291988067214615,0.7162162162162162,17.151280169891162,7.772339999733958,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.852175805597565,0
1997,1990,0,2,8,1,19,6,0.0982994095406102,0.7837837837837838,17.172407715573055,8.151866644340856,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.945687208351472,0
1996,1990,0,1,6,1,19,44,0.1123445900773608,0.5810810810810811,14.508658238524095,6.014961323019381,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.130694879288452,0
1990,1990,0,2,10,3,19,269,0.1516710955802625,0.7702702702702704,17.426428497635523,7.797168012048045,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21.03636752668099,0
2012,2010,1,1,1,1,19,68,0.0421186873936077,0.6216216216216216,15.501909696719672,5.477216406540661,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.74195903416984,2
1983,1980,0,2,17,3,19,319,0.0702090484671089,0.8648648648648649,18.15410764776565,7.838497089222299,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.30600189707449,1
1989,1980,0,1,6,5,19,319,0.0533548318230082,0.6621621621621622,15.1764873675101,8.654649870015819,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.82653976810011,1
1991,1990,0,1,14,1,19,269,0.0814451928965094,0.6486486486486487,14.914123179965662,6.531300278921066,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.24369455195568,0
1980,1980,0,1,7,1,19,9,0.0308825429642072,0.6216216216216216,14.508658238524095,7.439747305561941,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.10451065828144,1
