Year,Decade,Recent,Runtime_Encoded,Director_Num_Movies,Writer_Num_Movies,Main_Actor_Num_Movies,Company_Num_Movies,Scaled_Standardized_Budget,Normalized_Score,Log_Votes,G,PG,PG-13,R,NC-17,Not Rated,Unrated,X,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Log_Worldwide_Gross
2011,2010,1,2,4,4,2,73,0.005601217998056143,0.6891891891891893,14.508658238524095,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.67874051956407
2011,2010,1,1,7,3,2,72,0.1685253122243633,0.5675675675675675,16.951004817371683,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.127920150449444
2011,2010,1,0,2,1,2,18,0.04773675960830799,0.5,15.843658936835498,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.883988924908156
2018,2010,1,1,1,1,1,5,0.00981477215908133,0.6486486486486487,14.285514812209815,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.91391616931546
2012,2010,1,1,1,2,1,16,0.03369157907155737,0.6216216216216216,15.717618233614914,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.530886551544356
1990,1990,0,0,2,4,1,320,0.0365006151789075,0.5405405405405406,15.363073279446223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.695026270133713
2004,2000,0,0,2,2,3,97,0.028073506856857125,0.472972972972973,14.285514812209815,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.434881445012444
2001,2000,0,0,13,11,3,50,0.09829940954061021,0.4864864864864865,16.22245575637265,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.114863096747087
2002,2000,0,1,13,11,3,50,0.10672651786266059,0.44594594594594594,15.64006001130563,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.90327931634449
2007,2000,0,1,1,5,1,203,0.12638977061411144,0.3918918918918919,14.220976332738882,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.579214979383316
2016,2010,1,1,6,2,2,3,0.5056096451063781,0.5810810810810811,16.636889503897294,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.99499172481974
2012,2010,1,2,10,4,2,320,0.5870716922195317,0.527027027027027,16.993564429978885,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.831912545671365
2013,2010,1,1,2,1,1,68,0.05616386793035836,0.3918918918918919,15.363073279446223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.97546350887698
2002,2000,0,0,4,1,1,98,0.042118687393607745,0.6351351351351351,14.603968372873895,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.08050948382885
2012,2010,1,1,2,9,1,1,0.03088254296420724,0.7027027027027027,14.285514812209815,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.233801009148664
2001,2000,0,2,8,3,1,292,0.04492772350095787,0.6081081081081081,14.151983508870947,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.49846564383555
1994,1990,0,1,17,1,1,320,0.03930965128625763,0.6891891891891893,13.785052381406869,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.731311966143593
2012,2010,1,1,6,4,3,1,0.04492772350095787,0.44594594594594594,13.785052381406869,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.74014132922229
1995,1990,0,1,6,4,3,271,0.03369157907155737,0.6621621621621622,16.775615705688583,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.15466225628683
1997,1990,0,1,2,1,3,292,0.05616386793035836,0.472972972972973,14.077875591662238,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.793312012935502
2014,2010,1,1,2,3,3,6,0.042118687393607745,0.7837837837837838,17.713434659296894,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.725477863618828
2017,2010,1,1,2,2,3,6,0.07020904846710899,0.5810810810810811,14.45736497045232,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.337792502418033
2018,2010,1,1,1,1,3,295,0.2640325398742675,0.5945945945945946,16.796129244469636,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.733596123904913
2006,2000,0,1,1,3,2,55,0.042118687393607745,0.5675675675675675,13.541075028051122,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.20428955544113
2009,2000,0,1,14,6,2,320,0.0842542290038596,0.6216216216216216,16.770420889081343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.627224430961373
1995,1990,0,0,1,2,1,3,0.042118687393607745,0.4054054054054054,11.237185138527495,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.9122422853058
1987,1980,0,1,2,3,3,2,0.008410254105406273,0.4864864864864865,12.706850963741102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.407445553951977
1993,1990,0,0,2,1,3,152,0.016837362427456634,0.44594594594594594,12.923914877701906,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.681091570933372
